PT90,,"S41°20'07.40469""","E174°47'04.73967""",,148.132,
PT91,,"S41°20'07.46438""","E174°47'04.72659""",,148.594,
PT92,,"S41°20'07.47891""","E174°47'04.65827""",,147.826,
PT93,,"S41°20'07.54509""","E174°47'04.64164""",,148.819,
PT94,,"S41°20'07.53150""","E174°47'04.72394""",,147.314,
PT95,,"S41°20'07.46724""","E174°47'04.75510""",,148.139,
PT96,,"S41°20'07.53401""","E174°47'04.75133""",,145.311,
PT97,,"S41°20'07.50005""","E174°47'04.84998""",,146.359,
PT98,,"S41°20'07.49548""","E174°47'04.86329""",,145.948,
PT99,,"S41°20'07.52764""","E174°47'04.86065""",,146.169,
PT100,,"S41°20'07.50611""","E174°47'04.89969""",,145.061,
PT101,,"S41°20'07.46736""","E174°47'04.88278""",,145.122,
PT102,,"S41°20'07.50334""","E174°47'04.97772""",,143.407,
PT103,,"S41°20'07.53438""","E174°47'05.09102""",,142.600,
PT104,,"S41°20'07.53473""","E174°47'05.14129""",,142.190,
PT105,,"S41°20'07.52837""","E174°47'05.18335""",,141.619,
PT106,,"S41°20'07.45040""","E174°47'05.23746""",,142.143,
PT107,,"S41°20'07.54610""","E174°47'05.15455""",,133.028,
PT108,,"S41°20'07.50017""","E174°47'05.15125""",,128.547,
PT109,,"S41°20'07.57520""","E174°47'05.47466""",,136.325,
PT110,,"S41°20'07.57825""","E174°47'05.52265""",,135.304,
PT111,,"S41°20'07.58054""","E174°47'05.55390""",,134.610,
PT112,,"S41°20'07.62831""","E174°47'05.59502""",,134.248,
PT113,,"S41°20'07.64339""","E174°47'05.61555""",,131.620,
PT114,,"S41°20'07.60235""","E174°47'05.73296""",,130.956,
PT115,,"S41°20'07.54283""","E174°47'05.71278""",,126.192,
PT116,,"S41°20'07.54612""","E174°47'05.82341""",,127.899,
PT117,,"S41°20'07.43082""","E174°47'05.73041""",,134.295,
PT118,,"S41°20'07.09181""","E174°47'04.75144""",,146.668,
PT119,,"S41°20'07.19006""","E174°47'04.75730""",,146.382,
PT120,,"S41°20'07.20481""","E174°47'04.65693""",,140.003,
PT121,,"S41°20'07.19297""","E174°47'04.72161""",,148.809,
PT122,,"S41°20'07.32780""","E174°47'04.78181""",,144.807,
PT123,,"S41°20'07.39933""","E174°47'04.79836""",,146.919,
PT124,,"S41°20'07.07184""","E174°47'04.95018""",,143.744,
PT125,,"S41°20'07.21551""","E174°47'04.85763""",,143.785,
PT126,,"S41°20'07.26580""","E174°47'04.86427""",,143.747,
PT127,,"S41°20'07.21030""","E174°47'04.97092""",,146.701,
PT128,,"S41°20'07.38627""","E174°47'04.94749""",,143.327,
PT129,,"S41°20'07.45251""","E174°47'04.97164""",,143.149,
PT130,,"S41°20'07.46733""","E174°47'05.07652""",,142.750,
PT131,,"S41°20'07.47013""","E174°47'05.13707""",,142.406,
PT132,,"S41°20'07.43365""","E174°47'05.11244""",,142.615,
PT133,,"S41°20'07.38343""","E174°47'05.11964""",,142.544,
PT134,,"S41°20'07.10289""","E174°47'05.04910""",,142.871,
PT135,,"S41°20'07.17326""","E174°47'05.08571""",,142.566,
PT136,,"S41°20'07.21939""","E174°47'05.09050""",,142.392,
PT137,,"S41°20'07.14257""","E174°47'05.00039""",,143.218,
PT138,,"S41°20'07.21735""","E174°47'04.97810""",,143.357,
PT139,,"S41°20'07.28397""","E174°47'04.99916""",,143.128,
PT140,,"S41°20'07.36389""","E174°47'05.02894""",,142.895,
