SiteName,YYYYUTC,MMUTC,DDUTC,HHUTC,MMUTC,LATDD,LATMM,LONDD,LONMM,FILE,Atten,Gain,Stacks,Epoch,ApproxDepth,Comments
ApRES008,2019,12,26,2,15,,,,,Survey_2019-12-26_020612.dat,20,-4,64,2,,
ApRES163,2019,12,26,2,40,,,,,Survey_2019-12-26_023136.dat,22,-4,64,2,,
ApRES177,2019,12,26,2,48,,,,,Survey_2019-12-26_023904.dat,20,-4,64,2,,
ApRES191,2019,12,26,2,55,,,,,Survey_2019-12-26_024552.dat,20,-4,64,2,,
ApRES205,2019,12,26,3,1,,,,,Survey_2019-12-26_025231.dat,22,-4,64,2,,
ApRES219,2019,12,26,3,8,,,,,Survey_2019-12-26_025937.dat,20,-4,64,2,,
ApRES233,2019,12,26,3,15,,,,,Survey_2019-12-26_030824.dat,20,-4,64,2,,
ApRES247,2019,12,26,3,23,,,,,Survey_2019-12-26_031453.dat,22,-4,64,2,,
ApRES245,2019,12,26,3,57,,,,,Survey_2019-12-26_034816.dat,20,-4,64,2,,
ApRES231,2019,12,26,4,3,,,,,Survey_2019-12-26_035444.dat,20,-4,64,2,,
ApRES217,2019,12,26,4,9,,,,,Survey_2019-12-26_040108.dat,22,-4,64,2,,
ApRES203,2019,12,26,4,16,,,,,Survey_2019-12-26_040755.dat,22,-4,64,2,,
ApRES189,2019,12,26,4,23,,,,,Survey_2019-12-26_041405.dat,22,-4,64,2,,
ApRES175,2019,12,26,4,30,,,,,Survey_2019-12-26_042056.dat,20,-4,64,2,,
ApRES161,2019,12,26,4,32,,,,,Survey_2019-12-26_042742.dat,20,-4,64,2,,
CP01,2019,12,7,23,3,-82,29.3696,-152,31.8807,2019_12_07_225600.dat,20,-4,64,1,710,
CP02,2019,12,7,23,20,-82,29.0999,-152,31.2465,2019_12_07_231044.dat,22,-4,64,1,713,
CP03,2019,12,7,23,35,-82,28.8473,-152,30.7217,2019_12_07_232530.dat,22,-4,64,1,718,
CP04,2019,12,7,23,47,-82,28.6123,-152,29.9591,2019_12_07_233943.dat,20,-4,64,1,717,
CP05,2019,12,7,23,59,-82,28.357,-152,29.2781,2019_12_07_235231.dat,20,-4,64,1,613,
CP06,2019,12,8,0,14,-82,28.2004,-152,28.862,2019_12_08_000409.dat,20,-4,64,1,454,
CP07,2019,12,8,0,29,-82,28.0185,-152,28.4369,2019_12_08_001936.dat,20,-4,64,1,462,
CP08,2019,12,8,0,42,-82,27.7892,-152,27.9947,2019_12_08_003236.dat,20,-4,64,1,567,
CP09,2019,12,8,1,48,-82,27.6111,-152,27.4694,2019_12_08_013943.dat,20,-4,64,1,714,
CP10,2019,12,8,2,2,-82,27.4165,-152,26.9755,2019_12_08_015742.dat,22,-4,64,1,717,
CP11,2019,12,8,2,20,-82,27.2157,-152,26.4718,2019_12_08_021102.dat,22,-4,64,1,717,
CP12,2019,12,8,2,35,-82,27.7067,-152,27.7612,2019-12-08_022603.dat,20,-4,64,1,628,
CP13,2019,12,8,2,60,-82,27.8627,-152,28.1431,2019-12-08_024034.dat,20,-4,64,1,547,
CP14,2019,12,8,3,2,-82,28.084,-152,28.6075,2019-12-08_025312.dat,20,-4,64,1,432,
CP15,2019,12,8,3,16,-82,27.9343,-152,28.2547,2019-12-08_030609.dat,22,-4,64,1,521,
CP01,2019,12,21,,,-82,29.3696,-152,31.8807,2019_12_21_215748.dat,20,-4,64,2,710,
CP02,2019,12,21,,,-82,29.0999,-152,31.2465,2019_12_21_221136.dat,22,-4,64,2,713,
CP03,2019,12,21,,,-82,28.8473,-152,30.7217,2019_12_21_222317.dat,22,-4,64,2,718,
CP04,2019,12,21,22,47,-82,28.6123,-152,29.9591,2019_12_21_223725.dat,20,-4,64,2,717,
CP05,2019,12,21,22,58,-82,28.357,-152,29.2781,2019_12_21_224933.dat,20,-4,64,2,613,
CP06,2019,12,21,23,13,-82,28.2004,-152,28.862,2019_12_21_230256.dat,20,-4,64,2,454,
CP07,2019,12,21,23,23,-82,28.0185,-152,28.4369,2019_12_21_231333.dat,20,-4,64,2,462,
CP08,2019,12,22,2,0,-82,27.7892,-152,27.9947,2019_12_22_015010.dat,20,-4,64,2,567,
CP09,2019,12,22,2,23,-82,27.6111,-152,27.4694,2019_12_22_021325.dat,22,-4,64,2,714,
CP10,2019,12,22,2,33,-82,27.4165,-152,26.9755,2019_12_22_022327.dat,22,-4,64,2,717,
CP11,2019,12,22,2,43,-82,27.2157,-152,26.4718,2019_12_22_023324.dat,22,-4,64,2,717,
CP12,2019,12,22,2,12,,,,,2019_12_22_020319.dat,20,-4,64,2,628,
CP13,2019,12,21,23,59,,,,,2019_12_22_235003.dat,20,-4,64,2,547,
CP14,2019,12,21,23,23,,,,,2019_12_21_231333.dat,20,-4,64,2,432,
CP15,2019,12,21,23,33,,,,,2019_12_21_2333833.dat,22,-4,64,2,521,
CP16,2019,12,22,3,20,,27.7201,,30.6823,2019_12_22_031028.dat,25,-4,64,1,452,
CP17,2019,12,22,3,32,,27.3142,,31.2976,2019_12_22_032236.dat,20,-4,64,1,476,
CP18,2019,12,22,3,45,,27.8623,,29.182,2019_12_22_033556.dat,23,-4,64,1,473,
CP19,2019,12,22,3,59,,28.0676,,27.0222,2019_12_22_034921.dat,22,-4,64,1,487,
CP20,2019,12,22,4,12,,28.1035,,26.1468,2019_12_22_040202.dat,20,-4,64,1,496,
CP21,2019,12,22,4,22,,28.145,,25.0323,2019_12_22_041156.dat,20,-4,64,1,471,
CP22,2019,12,22,4,32,,28.1783,,25.0323,2019_12_22_042312.dat,20,-4,64,1,455,
CP23,2019,12,22,4,44,,28.216,,22.9957,2019_12_22_043429.dat,20,-4,64,1,450,
CP24,2019,12,22,4,54,,28.2328,,22.052,2019_12_22_044431.dat,22,-4,64,1,470,
CP25,2019,12,22,5,6,,28.2159,,21.1045,2019_12_22_045518.dat,22,-4,64,1,430,
